==Test: Fixture
==SubTest: Sequence_Unlock
==SubSubTest: Lume_UNLOCK
			lower:; upper:; value:--PASS--NOPDCA
2020-04-21 10:19:59.197404   PASS
==Test: Fixture
==SubTest: Channel
==SubSubTest: ID
			lower:1; upper:4; value:4
2020-04-21 10:20:04.208606   PASS
==Test: Fixture
==SubTest: Vendor_ID
==SubSubTest: Check
			lower:1; upper:2; value:1
2020-04-21 10:20:04.210986   PASS
==Test: Fixture
==SubTest: Fixture_FW
==SubSubTest: Check_ACE_FW_Mac
			lower:; upper:; value:--PASS--NOPDCA
2020-04-21 10:20:04.302962   PASS
==Test: Fixture
==SubTest: Fixture_FW
==SubSubTest: Check_ACE_FW_Xavier
			lower:; upper:; value:--PASS--NOPDCA
2020-04-21 10:20:16.482244   PASS
==Test: Fixture
==SubTest: Initialization
==SubSubTest: Reset
2020-04-21 10:20:16.484024          2020/04/21 10:20:16.483 :  [sendcmd]:[a5e57d6ec5bd]dac set(d,0)

2020-04-21 10:20:16.493883          2020/04/21 10:20:16.493 :  [a5e57d6ec5bd]ACK(DONE;46458,764,46458,772,8)


2020-04-21 10:20:16.599673          2020/04/21 10:20:16.599 :  [sendcmd]:[36777ac75da5]dac set(a,0)

2020-04-21 10:20:16.608981          2020/04/21 10:20:16.608 :  [36777ac75da5]ACK(DONE;46458,880,46458,887,7)


2020-04-21 10:20:16.612860          2020/04/21 10:20:16.612 :  [sendcmd]:[cb3b7994435f]dac set(b,0)

2020-04-21 10:20:16.620137          2020/04/21 10:20:16.620 :  [cb3b7994435f]ACK(DONE;46458,893,46458,899,6)


2020-04-21 10:20:16.627164          2020/04/21 10:20:16.626 :  [sendcmd]:[acb79853696f]dac set(c,0)

2020-04-21 10:20:16.635314          2020/04/21 10:20:16.634 :  [acb79853696f]ACK(DONE;46458,907,46458,914,7)


2020-04-21 10:20:17.644113          2020/04/21 10:20:17.643 :  [sendcmd]:[807e1bd841b7]gpio set(1,bit7=0)

2020-04-21 10:20:17.650144          2020/04/21 10:20:17.650 :  [807e1bd841b7]ACK(DONE;46459,924,46459,928,4)


2020-04-21 10:20:17.658505          2020/04/21 10:20:17.657 :  [sendcmd]:[6612bd407e6d]io set(1,bit386=0)

2020-04-21 10:20:17.680425          2020/04/21 10:20:17.680 :  [6612bd407e6d]ACK(DONE;46459,938,46459,959,21)


2020-04-21 10:20:17.684652          2020/04/21 10:20:17.684 :  [sendcmd]:[ef62f1b1a19f]io set(1,bit388=0)

2020-04-21 10:20:17.706412          2020/04/21 10:20:17.706 :  [ef62f1b1a19f]ACK(DONE;46459,965,46459,985,20)


2020-04-21 10:20:17.710143          2020/04/21 10:20:17.710 :  [sendcmd]:[0a0ce55c47c3]io set(1,bit389=0)

2020-04-21 10:20:17.732262          2020/04/21 10:20:17.732 :  [0a0ce55c47c3]ACK(DONE;46459,990,46460,11,21)


2020-04-21 10:20:17.736484          2020/04/21 10:20:17.736 :  [sendcmd]:[4f53ee1b1baa]io set(1,bit060=0)

2020-04-21 10:20:17.747206          2020/04/21 10:20:17.747 :  [4f53ee1b1baa]ACK(DONE;46460,16,46460,26,10)


2020-04-21 10:20:17.759785          2020/04/21 10:20:17.759 :  [sendcmd]:[e11ff8c07475]io set(1,bit199=1)

2020-04-21 10:20:17.770134          2020/04/21 10:20:17.769 :  [e11ff8c07475]ACK(DONE;46460,40,46460,49,9)


2020-04-21 10:20:17.773690          2020/04/21 10:20:17.772 :  [sendcmd]:[f315d6f9d08c]io set(1,bit390=1)

2020-04-21 10:20:17.794736          2020/04/21 10:20:17.794 :  [f315d6f9d08c]ACK(DONE;46460,53,46460,73,20)


2020-04-21 10:20:17.797488          2020/04/21 10:20:17.797 :  [sendcmd]:[23baef5600e2]exio chip set(cp255=0)

2020-04-21 10:20:17.880354          2020/04/21 10:20:17.880 :  [23baef5600e2]ACK(DONE;46460,78,46460,158,80)


2020-04-21 10:20:17.892002          2020/04/21 10:20:17.890 :  [sendcmd]:[1c4741018d10]io set(1,bit66=0)

2020-04-21 10:20:17.902306          2020/04/21 10:20:17.902 :  [1c4741018d10]ACK(DONE;46460,170,46460,180,10)


2020-04-21 10:20:17.904153          2020/04/21 10:20:17.904 :  [sendcmd]:[dbdecaf6cc4a]eload reset(1)

2020-04-21 10:20:17.952864          2020/04/21 10:20:17.952 :  [dbdecaf6cc4a]ACK(DONE;46460,184,46460,231,47)


2020-04-21 10:20:17.968368          2020/04/21 10:20:17.965 :  [sendcmd]:[75b427b9e83c]eload reset(2)

2020-04-21 10:20:18.012880          2020/04/21 10:20:18.012 :  [75b427b9e83c]ACK(DONE;46460,246,46460,292,46)


2020-04-21 10:20:18.024058          2020/04/21 10:20:18.023 :  [sendcmd]:[98f24862a503]eload set(1,cc,0)

2020-04-21 10:20:18.047841          2020/04/21 10:20:18.047 :  [98f24862a503]ACK(DONE;46460,304,46460,327,23)


2020-04-21 10:20:18.060518          2020/04/21 10:20:18.060 :  [sendcmd]:[69e343e9e593]eload disable(1)

2020-04-21 10:20:18.096710          2020/04/21 10:20:18.096 :  [69e343e9e593]ACK(DONE;46460,341,46460,375,34)


2020-04-21 10:20:18.109234          2020/04/21 10:20:18.109 :  [sendcmd]:[72491c843a2c]eload set(2,cc,0)

2020-04-21 10:20:18.134005          2020/04/21 10:20:18.133 :  [72491c843a2c]ACK(DONE;46460,389,46460,412,23)


2020-04-21 10:20:18.144816          2020/04/21 10:20:18.144 :  [sendcmd]:[65150a2088cd]eload disable(2)

2020-04-21 10:20:18.180955          2020/04/21 10:20:18.180 :  [65150a2088cd]ACK(DONE;46460,425,46460,459,34)


2020-04-21 10:20:18.194849          2020/04/21 10:20:18.194 :  [sendcmd]:[f3c661e998f0]io chip set(cp1=0,cp2=0,cp3=0,cp4=0,cp5=0,cp6=0,cp7=0,cp8=0,cp14=0,cp15=0,cp16=0,cp25=0)

2020-04-21 10:20:18.243182          2020/04/21 10:20:18.242 :  [f3c661e998f0]ACK(DONE;46460,475,46460,522,47)


2020-04-21 10:20:18.255613          2020/04/21 10:20:18.255 :  [sendcmd]:[5bb0b0d68fc1]io set(3,bit85=1,bit87=0,bit86=0)

2020-04-21 10:20:18.267040          2020/04/21 10:20:18.266 :  [5bb0b0d68fc1]ACK(DONE;46460,536,46460,545,9)


2020-04-21 10:20:18.280647          2020/04/21 10:20:18.280 :  [sendcmd]:[423a2af62b56]io set(1,bit85=0)

2020-04-21 10:20:18.291565          2020/04/21 10:20:18.291 :  [423a2af62b56]ACK(DONE;46460,561,46460,570,9)


2020-04-21 10:20:18.317261          2020/04/21 10:20:18.317 :  [sendcmd]:[61223d46c7a4]io set(3,bit100=1,bit102=0,bit101=0)

2020-04-21 10:20:18.327889          2020/04/21 10:20:18.327 :  [61223d46c7a4]ACK(DONE;46460,597,46460,607,10)


