==Test: Fixture
==SubTest: Sequence_Unlock
==SubSubTest: Lume_UNLOCK
			lower:; upper:; value:--PASS--NOPDCA
2020-04-21 10:19:59.185689   PASS
==Test: Fixture
==SubTest: Channel
==SubSubTest: ID
			lower:1; upper:4; value:3
2020-04-21 10:20:04.184034   PASS
==Test: Fixture
==SubTest: Vendor_ID
==SubSubTest: Check
			lower:1; upper:2; value:1
2020-04-21 10:20:04.197491   PASS
==Test: Fixture
==SubTest: Fixture_FW
==SubSubTest: Check_ACE_FW_Mac
			lower:; upper:; value:--PASS--NOPDCA
2020-04-21 10:20:04.217151   PASS
==Test: Fixture
==SubTest: Fixture_FW
==SubSubTest: Check_ACE_FW_Xavier
			lower:; upper:; value:--PASS--NOPDCA
2020-04-21 10:20:07.668087   PASS
==Test: Fixture
==SubTest: Initialization
==SubSubTest: Reset
2020-04-21 10:20:07.670857          2020/04/21 10:20:07.670 :  [sendcmd]:[36777ac75da5]dac set(d,0)

2020-04-21 10:20:07.679329          2020/04/21 10:20:07.678 :  [36777ac75da5]ACK(DONE;46449,715,46449,722,7)


2020-04-21 10:20:07.789453          2020/04/21 10:20:07.789 :  [sendcmd]:[cb3b7994435f]dac set(a,0)

2020-04-21 10:20:07.798123          2020/04/21 10:20:07.797 :  [cb3b7994435f]ACK(DONE;46449,834,46449,841,7)


2020-04-21 10:20:07.803382          2020/04/21 10:20:07.803 :  [sendcmd]:[acb79853696f]dac set(b,0)

2020-04-21 10:20:07.813394          2020/04/21 10:20:07.813 :  [acb79853696f]ACK(DONE;46449,848,46449,856,8)


2020-04-21 10:20:07.816581          2020/04/21 10:20:07.816 :  [sendcmd]:[807e1bd841b7]dac set(c,0)

2020-04-21 10:20:07.825927          2020/04/21 10:20:07.825 :  [807e1bd841b7]ACK(DONE;46449,861,46449,869,8)


2020-04-21 10:20:08.835993          2020/04/21 10:20:08.835 :  [sendcmd]:[6612bd407e6d]gpio set(1,bit7=0)

2020-04-21 10:20:08.842173          2020/04/21 10:20:08.841 :  [6612bd407e6d]ACK(DONE;46450,880,46450,885,5)


2020-04-21 10:20:08.849368          2020/04/21 10:20:08.849 :  [sendcmd]:[ef62f1b1a19f]io set(1,bit386=0)

2020-04-21 10:20:08.874335          2020/04/21 10:20:08.872 :  [ef62f1b1a19f]ACK(DONE;46450,894,46450,916,22)


2020-04-21 10:20:08.876753          2020/04/21 10:20:08.875 :  [sendcmd]:[0a0ce55c47c3]io set(1,bit388=0)

2020-04-21 10:20:08.897911          2020/04/21 10:20:08.897 :  [0a0ce55c47c3]ACK(DONE;46450,920,46450,940,20)


2020-04-21 10:20:08.902071          2020/04/21 10:20:08.901 :  [sendcmd]:[4f53ee1b1baa]io set(1,bit389=0)

2020-04-21 10:20:08.929962          2020/04/21 10:20:08.929 :  [4f53ee1b1baa]ACK(DONE;46450,946,46450,972,26)


2020-04-21 10:20:08.939232          2020/04/21 10:20:08.939 :  [sendcmd]:[e11ff8c07475]io set(1,bit060=0)

2020-04-21 10:20:08.951018          2020/04/21 10:20:08.950 :  [e11ff8c07475]ACK(DONE;46450,984,46450,993,9)


2020-04-21 10:20:08.952642          2020/04/21 10:20:08.952 :  [sendcmd]:[f315d6f9d08c]io set(1,bit199=1)

2020-04-21 10:20:08.963440          2020/04/21 10:20:08.963 :  [f315d6f9d08c]ACK(DONE;46450,997,46451,6,9)


2020-04-21 10:20:08.966793          2020/04/21 10:20:08.966 :  [sendcmd]:[23baef5600e2]io set(1,bit390=1)

2020-04-21 10:20:08.988718          2020/04/21 10:20:08.988 :  [23baef5600e2]ACK(DONE;46451,11,46451,31,20)


2020-04-21 10:20:08.991281          2020/04/21 10:20:08.991 :  [sendcmd]:[1c4741018d10]exio chip set(cp255=0)

2020-04-21 10:20:09.069577          2020/04/21 10:20:09.069 :  [1c4741018d10]ACK(DONE;46451,36,46451,112,76)


2020-04-21 10:20:09.073878          2020/04/21 10:20:09.073 :  [sendcmd]:[dbdecaf6cc4a]io set(1,bit66=0)

2020-04-21 10:20:09.084854          2020/04/21 10:20:09.084 :  [dbdecaf6cc4a]ACK(DONE;46451,118,46451,128,10)


2020-04-21 10:20:09.087822          2020/04/21 10:20:09.087 :  [sendcmd]:[75b427b9e83c]eload reset(1)

2020-04-21 10:20:09.136153          2020/04/21 10:20:09.135 :  [75b427b9e83c]ACK(DONE;46451,132,46451,179,47)


2020-04-21 10:20:09.138321          2020/04/21 10:20:09.138 :  [sendcmd]:[98f24862a503]eload reset(2)

2020-04-21 10:20:09.185752          2020/04/21 10:20:09.185 :  [98f24862a503]ACK(DONE;46451,183,46451,229,46)


2020-04-21 10:20:09.187976          2020/04/21 10:20:09.187 :  [sendcmd]:[69e343e9e593]eload set(1,cc,0)

2020-04-21 10:20:09.212053          2020/04/21 10:20:09.211 :  [69e343e9e593]ACK(DONE;46451,232,46451,255,23)


2020-04-21 10:20:09.224904          2020/04/21 10:20:09.224 :  [sendcmd]:[72491c843a2c]eload disable(1)

2020-04-21 10:20:09.259531          2020/04/21 10:20:09.259 :  [72491c843a2c]ACK(DONE;46451,269,46451,302,33)


2020-04-21 10:20:09.263819          2020/04/21 10:20:09.263 :  [sendcmd]:[65150a2088cd]eload set(2,cc,0)

2020-04-21 10:20:09.286801          2020/04/21 10:20:09.286 :  [65150a2088cd]ACK(DONE;46451,308,46451,330,22)


2020-04-21 10:20:09.300507          2020/04/21 10:20:09.300 :  [sendcmd]:[f3c661e998f0]eload disable(2)

2020-04-21 10:20:09.335999          2020/04/21 10:20:09.335 :  [f3c661e998f0]ACK(DONE;46451,345,46451,378,33)


2020-04-21 10:20:09.349470          2020/04/21 10:20:09.349 :  [sendcmd]:[5bb0b0d68fc1]io chip set(cp1=0,cp2=0,cp3=0,cp4=0,cp5=0,cp6=0,cp7=0,cp8=0,cp14=0,cp15=0,cp16=0,cp25=0)

2020-04-21 10:20:09.395681          2020/04/21 10:20:09.395 :  [5bb0b0d68fc1]ACK(DONE;46451,394,46451,439,45)


2020-04-21 10:20:09.400456          2020/04/21 10:20:09.400 :  [sendcmd]:[423a2af62b56]io set(3,bit85=1,bit87=0,bit86=0)

2020-04-21 10:20:09.411697          2020/04/21 10:20:09.411 :  [423a2af62b56]ACK(DONE;46451,445,46451,454,9)


2020-04-21 10:20:09.425135          2020/04/21 10:20:09.424 :  [sendcmd]:[61223d46c7a4]io set(1,bit85=0)

2020-04-21 10:20:09.435903          2020/04/21 10:20:09.435 :  [61223d46c7a4]ACK(DONE;46451,469,46451,479,10)


