==Test: Fixture
==SubTest: Sequence_Unlock
==SubSubTest: Lume_UNLOCK
			lower:; upper:; value:--PASS--NOPDCA
2020-04-22 14:11:30.128273   PASS
==Test: Fixture
==SubTest: Channel
==SubSubTest: ID
			lower:1; upper:4; value:1
2020-04-22 14:11:32.174364   PASS
==Test: Fixture
==SubTest: Vendor_ID
==SubSubTest: Check
			lower:1; upper:2; value:1
2020-04-22 14:11:32.176484   PASS
==Test: Fixture
==SubTest: Fixture_FW
==SubSubTest: Check_ACE_FW_Mac
			lower:; upper:; value:--PASS--NOPDCA
2020-04-22 14:11:32.177909   PASS
==Test: Fixture
==SubTest: Fixture_FW
==SubSubTest: Check_ACE_FW_Xavier
			lower:; upper:; value:--PASS--NOPDCA
2020-04-22 14:11:38.165336   PASS
==Test: Fixture
==SubTest: Initialization
==SubSubTest: Reset
2020-04-22 14:11:38.167857          2020/04/22 14:11:38.167 :  [sendcmd]:[a53cfb85e9f1]dac set(d,0)

2020-04-22 14:11:38.177916          2020/04/22 14:11:38.177 :  [a53cfb85e9f1]ACK(DONE;62569,844,62569,852,8)


2020-04-22 14:11:38.287252          2020/04/22 14:11:38.287 :  [sendcmd]:[10548362661f]dac set(a,0)

2020-04-22 14:11:38.295866          2020/04/22 14:11:38.295 :  [10548362661f]ACK(DONE;62569,963,62569,970,7)


2020-04-22 14:11:38.300143          2020/04/22 14:11:38.299 :  [sendcmd]:[5a407b2cf173]dac set(b,0)

2020-04-22 14:11:38.307865          2020/04/22 14:11:38.307 :  [5a407b2cf173]ACK(DONE;62569,976,62569,982,6)


2020-04-22 14:11:38.314261          2020/04/22 14:11:38.314 :  [sendcmd]:[bf1231eab85e]dac set(c,0)

2020-04-22 14:11:38.322661          2020/04/22 14:11:38.322 :  [bf1231eab85e]ACK(DONE;62569,990,62569,996,6)


2020-04-22 14:11:39.332034          2020/04/22 14:11:39.331 :  [sendcmd]:[c36efc9cfeba]gpio set(1,bit7=0)

2020-04-22 14:11:39.338814          2020/04/22 14:11:39.338 :  [c36efc9cfeba]ACK(DONE;62571,8,62571,13,5)


2020-04-22 14:11:39.344443          2020/04/22 14:11:39.344 :  [sendcmd]:[85b9b6d848e9]io set(1,bit386=0)

2020-04-22 14:11:39.368465          2020/04/22 14:11:39.368 :  [85b9b6d848e9]ACK(DONE;62571,20,62571,43,23)


2020-04-22 14:11:39.378998          2020/04/22 14:11:39.378 :  [sendcmd]:[f83bc18f3048]io set(1,bit388=0)

2020-04-22 14:11:39.401669          2020/04/22 14:11:39.401 :  [f83bc18f3048]ACK(DONE;62571,55,62571,76,21)


2020-04-22 14:11:39.404805          2020/04/22 14:11:39.404 :  [sendcmd]:[839a94efb236]io set(1,bit389=0)

2020-04-22 14:11:39.426933          2020/04/22 14:11:39.426 :  [839a94efb236]ACK(DONE;62571,81,62571,101,20)


2020-04-22 14:11:39.431254          2020/04/22 14:11:39.430 :  [sendcmd]:[a65487708ff2]io set(1,bit060=0)

2020-04-22 14:11:39.442168          2020/04/22 14:11:39.442 :  [a65487708ff2]ACK(DONE;62571,107,62571,116,9)


2020-04-22 14:11:39.445121          2020/04/22 14:11:39.445 :  [sendcmd]:[530d9031ee02]io set(1,bit199=1)

2020-04-22 14:11:39.456979          2020/04/22 14:11:39.456 :  [530d9031ee02]ACK(DONE;62571,121,62571,131,10)


2020-04-22 14:11:39.458942          2020/04/22 14:11:39.458 :  [sendcmd]:[73eecb407e58]io set(1,bit390=1)

2020-04-22 14:11:39.481680          2020/04/22 14:11:39.481 :  [73eecb407e58]ACK(DONE;62571,135,62571,156,21)


2020-04-22 14:11:39.492368          2020/04/22 14:11:39.492 :  [sendcmd]:[bce51e6f77a8]exio chip set(cp255=0)

2020-04-22 14:11:39.568510          2020/04/22 14:11:39.565 :  [bce51e6f77a8]ACK(DONE;62571,168,62571,241,73)


2020-04-22 14:11:39.571178          2020/04/22 14:11:39.571 :  [sendcmd]:[305e4852e8de]io set(1,bit66=0)

2020-04-22 14:11:39.582009          2020/04/22 14:11:39.581 :  [305e4852e8de]ACK(DONE;62571,247,62571,257,10)


2020-04-22 14:11:39.595772          2020/04/22 14:11:39.595 :  [sendcmd]:[4162efcf2d0b]eload reset(1)

2020-04-22 14:11:39.644555          2020/04/22 14:11:39.644 :  [4162efcf2d0b]ACK(DONE;62571,271,62571,318,47)


2020-04-22 14:11:39.654073          2020/04/22 14:11:39.653 :  [sendcmd]:[b18f65315da0]eload reset(2)

