==Test: Fixture
==SubTest: Sequence_Unlock
==SubSubTest: Lume_UNLOCK
			lower:; upper:; value:--PASS--NOPDCA
2020-04-22 13:50:54.246328   PASS
==Test: Fixture
==SubTest: Channel
==SubSubTest: ID
			lower:1; upper:4; value:1
2020-04-22 13:50:58.315939   PASS
==Test: Fixture
==SubTest: Vendor_ID
==SubSubTest: Check
			lower:1; upper:2; value:1
2020-04-22 13:50:58.317862   PASS
==Test: Fixture
==SubTest: Fixture_FW
==SubSubTest: Check_ACE_FW_Mac
			lower:; upper:; value:--PASS--NOPDCA
2020-04-22 13:50:58.319030   PASS
==Test: Fixture
==SubTest: Fixture_FW
==SubSubTest: Check_ACE_FW_Xavier
			lower:; upper:; value:--PASS--NOPDCA
2020-04-22 13:51:07.798917   PASS
==Test: Fixture
==SubTest: Initialization
==SubSubTest: Reset
2020-04-22 13:51:07.801491          2020/04/22 13:51:07.801 :  [sendcmd]:[6a66473f0dec]dac set(d,0)

2020-04-22 13:51:07.810875          2020/04/22 13:51:07.810 :  [6a66473f0dec]ACK(DONE;61339,482,61339,489,7)


2020-04-22 13:51:07.916228          2020/04/22 13:51:07.916 :  [sendcmd]:[329725f9cacc]dac set(a,0)

2020-04-22 13:51:07.923781          2020/04/22 13:51:07.923 :  [329725f9cacc]ACK(DONE;61339,597,61339,603,6)


2020-04-22 13:51:07.928997          2020/04/22 13:51:07.928 :  [sendcmd]:[672c510f5506]dac set(b,0)

2020-04-22 13:51:07.936809          2020/04/22 13:51:07.936 :  [672c510f5506]ACK(DONE;61339,610,61339,616,6)


2020-04-22 13:51:07.940871          2020/04/22 13:51:07.940 :  [sendcmd]:[8af00dde5e07]dac set(c,0)

2020-04-22 13:51:07.948996          2020/04/22 13:51:07.948 :  [8af00dde5e07]ACK(DONE;61339,622,61339,628,6)


2020-04-22 13:51:08.957516          2020/04/22 13:51:08.957 :  [sendcmd]:[1ad118057340]gpio set(1,bit7=0)

2020-04-22 13:51:08.963582          2020/04/22 13:51:08.963 :  [1ad118057340]ACK(DONE;61340,638,61340,643,5)


2020-04-22 13:51:08.970508          2020/04/22 13:51:08.970 :  [sendcmd]:[c9d1132fe46c]io set(1,bit386=0)

2020-04-22 13:51:08.992732          2020/04/22 13:51:08.992 :  [c9d1132fe46c]ACK(DONE;61340,651,61340,672,21)


2020-04-22 13:51:08.995454          2020/04/22 13:51:08.995 :  [sendcmd]:[b1bed1835d40]io set(1,bit388=0)

2020-04-22 13:51:09.021541          2020/04/22 13:51:09.017 :  [b1bed1835d40]ACK(DONE;61340,676,61340,697,21)


2020-04-22 13:51:09.031940          2020/04/22 13:51:09.031 :  [sendcmd]:[9143e573bf13]io set(1,bit389=0)

2020-04-22 13:51:09.054462          2020/04/22 13:51:09.054 :  [9143e573bf13]ACK(DONE;61340,712,61340,733,21)


2020-04-22 13:51:09.057970          2020/04/22 13:51:09.057 :  [sendcmd]:[73f426198735]io set(1,bit060=0)

2020-04-22 13:51:09.069181          2020/04/22 13:51:09.069 :  [73f426198735]ACK(DONE;61340,738,61340,748,10)


2020-04-22 13:51:09.071948          2020/04/22 13:51:09.071 :  [sendcmd]:[a46b8f14b327]io set(1,bit199=1)

2020-04-22 13:51:09.083274          2020/04/22 13:51:09.083 :  [a46b8f14b327]ACK(DONE;61340,753,61340,762,9)


2020-04-22 13:51:09.094593          2020/04/22 13:51:09.094 :  [sendcmd]:[57eb034e49d6]io set(1,bit390=1)

2020-04-22 13:51:09.116896          2020/04/22 13:51:09.116 :  [57eb034e49d6]ACK(DONE;61340,775,61340,796,21)


2020-04-22 13:51:09.119060          2020/04/22 13:51:09.118 :  [sendcmd]:[457a8210fa65]exio chip set(cp255=0)

2020-04-22 13:51:09.193053          2020/04/22 13:51:09.193 :  [457a8210fa65]ACK(DONE;61340,800,61340,873,73)


2020-04-22 13:51:09.200142          2020/04/22 13:51:09.200 :  [sendcmd]:[509990a7c17b]io set(1,bit66=0)

2020-04-22 13:51:09.211376          2020/04/22 13:51:09.211 :  [509990a7c17b]ACK(DONE;61340,881,61340,891,10)


2020-04-22 13:51:09.214497          2020/04/22 13:51:09.214 :  [sendcmd]:[5402231ca7eb]eload reset(1)

2020-04-22 13:51:09.263745          2020/04/22 13:51:09.263 :  [5402231ca7eb]ACK(DONE;61340,895,61340,942,47)


2020-04-22 13:51:09.274884          2020/04/22 13:51:09.274 :  [sendcmd]:[049663ab256e]eload reset(2)

2020-04-22 13:51:09.323047          2020/04/22 13:51:09.322 :  [049663ab256e]ACK(DONE;61340,955,61341,2,47)


2020-04-22 13:51:09.332810          2020/04/22 13:51:09.332 :  [sendcmd]:[1b5794713a1b]eload set(1,cc,0)

2020-04-22 13:51:09.356871          2020/04/22 13:51:09.356 :  [1b5794713a1b]ACK(DONE;61341,13,61341,36,23)


2020-04-22 13:51:09.366664          2020/04/22 13:51:09.366 :  [sendcmd]:[ecb21d4b821d]eload disable(1)

